variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,281.759,28, 0.280, 0.010, 0.020, 281.687 +  0.005 t, 0.464
PREC,mm d$^{-1}$,2.340,28, 0.063, 0.002, 0.004, 2.352 + -0.001 t, 0.595
ELAI,m${-2}$ m${-2}$,1.005,28, 0.055, 0.002, 0.004, 1.050 + -0.003 t, 0.013
FSDS,W m$^{-2}$,199.060,28, 0.456, 0.016, 0.032, 198.741 +  0.022 t, 0.040
FLDS,W m$^{-2}$,302.141,28, 1.713, 0.061, 0.120, 302.011 +  0.009 t, 0.831
ASA,% reflected,28.923,28, 0.128, 0.005, 0.009, 28.867 +  0.004 t, 0.216
RNET,W m$^{-2}$,72.936,28, 0.467, 0.017, 0.033, 73.028 + -0.006 t, 0.578
FSH,W m$^{-2}$,33.817,28, 0.501, 0.018, 0.035, 33.431 +  0.027 t, 0.023
ET,W m$^{-2}$,38.184,28, 0.589, 0.021, 0.041, 38.571 + -0.027 t, 0.056
FCTR,W m$^{-2}$,17.998,28, 0.505, 0.018, 0.035, 18.445 + -0.031 t, 0.008
FGEV,W m$^{-2}$,12.157,28, 0.452, 0.016, 0.032, 11.854 +  0.021 t, 0.050
FCEV,W m$^{-2}$,8.029,28, 0.207, 0.007, 0.015, 8.272 + -0.017 t, 0.000
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.96,28, 0.0472, 0.00168, 0.0033, 0.952 +  0.000594 t, 0.606
SNOWDP,m,2.282,28, 0.016, 0.001, 0.001, 2.309 + -0.002 t, 0.000
GPP,PgC y$^{-1}$,84.032,28, 2.702, 0.096, 0.189, 85.885 + -0.128 t, 0.045
NPP,PgC y$^{-1}$,33.714,28, 0.885, 0.032, 0.062, 33.872 + -0.011 t, 0.614
NEE,PgC y$^{-1}$,4.353,28, 1.469, 0.052, 0.103, 6.628 + -0.157 t, 0.000
NBP,PgC y$^{-1}$,-4.875,28, 1.468, 0.052, 0.103,-7.156 +  0.157 t, 0.000
BTRANMN,unitless,0.57,28, 0.00451, 0.000161, 0.000316, 0.564 +  0.000354 t, 0.000289
TOTVEGC,PgC,448.112,28, 26.539, 0.948, 1.858, 494.786 + -3.219 t, 0.000
TOTECOSYSC,gC/m^2,19471.607,28, 261.301, 9.332, 18.291, 19936.413 + -32.056 t, 0.000
TOTSOMC_1m,PgC,1585.566,28, 6.900, 0.246, 0.483, 1597.934 + -0.853 t, 0.000
ALTMAX,m,32.102,28, 0.223, 0.008, 0.016, 31.704 +  0.027 t, 0.000
FAREA_BURNED,s-1,2.84e-09,28, 2.77e-10, 9.89e-12, 1.94e-11, 3.15e-09 + -2.12e-11 t, 0.000449
DSTFLXT,Pg y$^{-1}$,7.905,28, 0.351, 0.013, 0.025, 7.869 +  0.002 t, 0.771
MEG_isoprene,Tg y$^{-1}$,455.582,28, 48.877, 1.746, 3.421, 493.281 + -2.600 t, 0.022
